overall,reviewText,summary
5,Great nephew loved!!! Very fast delivery!!!!!,Five Stars
5,"well made boot, fits perfectly",Five Stars
5,Perfect fit. Good quality. (Do not put in dryer.),Nice bra!
5,I bought these for my 2 year old girl and she loves them! She loves them because it's comfortable and I love the boots because it's made out of sturdy rubber and looks really cute on her. The price is great too!,Better than I expected!
5,"Great backpack.  I wanted to get a backpack that would last for several school years, and I think this is going to meet my expectations.  It is very heavy-duty and has all the pockets and things that a student needs to get back and forth to school.",Great backpack.
5,"I use these every day.  They smell great and when the scent weakens just sand them down a bit, brush them off, and use again.",Nice
5,Nice pants,Five Stars
5,The first pair of jazz shoes my daughter didn't have to break in.  The fit her comfortably and left no blisters even after the first wear and she dances approx 4 hours at a time.,Best Jazz shoe I've found so far
5,Got these shoes for my elderly mother. They fit her great and are well made. The easy Velcro closure lets her snug them up just right and keeps her sure footed when she walks.,For elderly mother
5,"I love the Keen Newport Sandal!, they are durable and water proof. They have been a part of my shoe wares for years. It also nice that they come in a variety of colors.",Great Sandals
5,very comfortable,Five Stars
5,of the overalls i bought for my husband this christmas...these are the ones he loves to the most.. he got them early to make sure of the fit...and he won't give this pair back to be wrapped...,of the overalls i bought for my husband this christmas ...
5,"All you can ask for. I got what i ordered.
Thanks!!",As Advertized!!
5,"My hubbys shirts have been getting a little worn out, and so I ordered a couple of these.  They are pretty nice, he just wishes they had a pocket. But for this price, who cares.",nice shirt
5,Nothing like the real thing with real leather.,Best for my feet
5,I wear Birkenstock classic in lieu of having neuroma surgery.  Has worked great for 2 years now.  Can't wear anything else though.  Love them.,Has worked great for 2 years now
5,"This bag is well made,  with lots of pockets. It is even large enough to hold my 13 inch laptop. It had the loop on the bag to go over my suitcase handle.","This bag is well made, with lots of pockets ..."
5,Really like it works great,Five Stars
5,"I love my Carhartt's shirts! These long sleeve T's are made of a durable material the is still soft and comfortable. I wear Carhartt's T's every day, whether long sleeve of short, they are great-fitting, high quality and long-lasting!",Carhartt's are the best!
5,fits great. I have 2 of them (different colors),Five Stars
5,"Fit perfectly, I am a size 6 and bought the 36.  My feet did take a few days to become accustomed to the hard (cork?) soles.  But I love them now, they feel great, could walk miles!",But I love them now
5,Fits as expected 2nd time I have bought this boot. Bought a pair for my son couple years ago and still in good shape and he wears them all the time so I know they hold up well,Bought a pair for my son couple years ago and still in good shape and he wears them all the time so ...
5,Great material and perfect quality!,Great Shoe!
5,Great shoe - I am going to order again.,Great shoe
